obra,pagina,termo,categoria_auto,gatilho_detectado,contexto_antes,trecho_central,contexto_depois,categoria_final,justificativa
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,be conflated under the expression “economic reason” (409). ·Chapter 15·,Mobilizing,the Beings of Passionate Interest. . . . . .,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,"and quasi subjects (467), is the one that the interminable",war,"between the two hands, visible and invisible, misunderstands (469). Can",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,wars,figurativo,sem_gatilho,by a series of negotiations over values? (483) For new,wars,a new peace (484). • xvii To the Reader: User’s,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilize,figurativo,sem_gatilho,"If all goes well, our platform will allow us to",mobilize,a considerably larger research community. Once you have registered on,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battles,figurativo,sem_gatilho,"inherited, the promises they would be ready to fulfill, the",battles,they would have to get ready to fight. At the,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battle,figurativo,sem_gatilho,the Collège de France. It’s the fall of 2010; a,battle,is raging about whether the current climate disturbances are of,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,weapon,figurativo,sem_gatilho,that pointing one’s finger at institutions might work as a,weapon,"to criticize them, but surely not as a tool for",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,And yet this is actually how the professor chose to,defend,himself against these skeptical industrialists. And he was right. In,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,weapons,figurativo,sem_gatilho,"think, rather, that he no longer had the choice of",weapons,because his climate-skeptic adver- saries were the ones talking about,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,had little choice. Since Certainty had been commandeered by his,enemies,and the public was beginning to ask rude questions; since,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defended,figurativo,sem_gatilho,"we saw it, scientific objectivity was too important to be",defended,"solely by what is known by the umbrella term “rationalism,”",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,become too serious for such squabbles. We have the same,enemies,and we have to respond to the same emergencies. ←,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,a powerful tension between the value that he wants to,defend,the account he 6 Trusting Institutions Again? • proposes to,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,contrasts to distinguish the values that people are seeking to,defend,from the account that has been given of them throughout,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacked,figurativo,sem_gatilho,"do it alone), to help our researcher who has been",attacked,in the name of “rationalism” by offering him an alternative,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defending,figurativo,sem_gatilho,the overly conflictual cases where they risk losing it while,defending,it clumsily. Can certain of the concepts that we have,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacks,figurativo,sem_gatilho,"many values no longer hold up and ecologizing, we against",attacks,Because of another phenomenon have to choose → that I,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,because no one had ever really felt a need to,defend,"it. As soon as objectivity is seriously challenged, as it",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,finally required. For modernization never takes the form of a,war,"that could appropriately be brought to an end. What conflict,",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,a modernization front. If it is really a matter of,war,"then let war be declared; in particular, let its objectives",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,"If it is really a matter of war, then let",war,"be declared; in particular, let its objectives be defined so",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,weapons,figurativo,sem_gatilho,We are now being asked to move suddenly with our,weapons,"and our baggage into the new dwelling place called “ecology,”",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,recruit,figurativo,sem_gatilho,complementary phenomena: the exploratory work that makes it possible to,recruit,or to constitute a discontinuous series of heterogeneous elements on,figurativo,automatico: sem_gatilho
